time,06H,06V,10H,10V,19H,19V,37H,37V,melt_asc,melt_asc20,melt_asc30,melt_dsc,inc,x,y,01H,01V,lat,lon,t2m
2009-10-01,123.299995,163.9,133.3,173.7,155.59999,189.9,191.4,212.9,0,0,0,0,,,,,,,,
2009-10-02,124.2,164.2,134.59999,173.8,156.5,190.3,192.7,213.4,0,0,0,0,,,,,,,,
2009-10-03,123.799995,163.5,134.09999,174.4,156.7,190.3,193.4,213.59999,0,0,0,0,,,,,,,,
2009-10-04,123.799995,164.2,134.09999,174.3,156.8,190.8,192.9,214.09999,0,0,0,0,,,,,,,,
2009-10-05,123.2,164.59999,133.3,174.4,157.2,190.3,193.0,214.5,0,0,0,0,,,,,,,,
2009-10-06,124.6,164.4,135.5,175.09999,160.9,193.8,198.3,218.59999,0,0,0,0,,,,,,,,
2009-10-07,124.2,164.8,134.3,175.4,158.2,191.7,193.4,216.2,0,0,0,0,,,,,,,,
2009-10-08,124.399994,164.9,135.09999,175.5,158.7,192.7,194.7,217.9,0,0,0,0,,,,,,,,
2009-10-09,124.5,165.8,135.7,175.9,160.4,193.5,196.4,219.0,0,0,0,0,,,,,,,,
2009-10-10,124.5,165.0,135.2,175.9,160.0,194.5,193.59999,220.9,0,0,0,0,,,,,,,,
2009-10-11,125.2,165.3,135.7,176.5,161.5,195.3,194.4,221.5,0,0,0,0,,,,,,,,
2009-10-12,125.6,166.0,137.4,177.2,166.2,196.5,204.5,225.29999,0,0,0,0,,,,,,,,
2009-10-13,125.5,165.3,136.5,176.2,161.3,194.09999,195.9,220.9,0,0,0,0,,,,,,,,
2009-10-14,126.0,165.4,136.4,176.0,163.59999,194.7,196.9,221.29999,0,0,0,0,,,,,,,,
2009-10-15,126.6,165.5,138.09999,176.5,164.59999,195.7,199.09999,222.9,0,0,0,0,,,,,,,,
2009-10-16,125.5,165.0,136.2,175.5,160.59999,193.09999,194.09999,219.29999,0,0,0,0,,,,,,,,
2009-10-17,125.6,164.8,135.9,175.2,160.0,193.59999,194.3,218.79999,0,0,0,0,,,,,,,,
2009-10-18,125.7,165.09999,136.3,175.5,160.4,193.2,194.4,219.09999,0,0,0,0,,,,,,,,
2009-10-19,126.299995,165.7,137.2,176.9,162.9,193.7,198.8,221.29999,0,0,0,0,,,,,,,,
2009-10-20,127.899994,166.5,140.5,178.4,168.59999,198.59999,207.59999,226.4,0,0,0,0,,,,,,,,
2009-10-21,125.6,165.8,135.9,176.09999,160.09999,193.4,195.0,219.59999,0,0,0,0,,,,,,,,
2009-10-22,126.5,165.4,137.3,176.3,161.3,193.59999,197.0,220.09999,0,0,0,0,,,,,,,,
2009-10-23,126.7,165.8,138.09999,177.0,163.5,195.0,199.9,221.4,0,0,0,0,,,,,,,,
2009-10-24,127.5,166.09999,138.8,177.09999,163.09999,195.0,198.5,222.5,0,0,0,0,,,,,,,,
2009-10-25,127.1,165.7,138.59999,176.3,163.09999,193.3,197.3,219.5,0,0,0,0,,,,,,,,
2009-10-26,126.799995,164.9,138.0,175.7,163.0,193.59999,200.0,220.09999,0,0,0,0,,,,,,,,
2009-10-27,126.5,165.9,137.4,176.7,162.7,195.3,198.2,222.0,0,0,0,0,,,,,,,,
2009-10-28,126.7,166.59999,138.0,178.0,165.4,197.09999,202.5,224.29999,0,0,0,0,,,,,,,,
2009-10-29,127.7,166.4,139.3,177.8,164.9,196.7,201.4,224.2,0,0,0,0,,,,,,,,
2009-10-30,127.2,166.4,138.5,177.3,164.8,195.5,200.7,222.7,0,0,0,0,,,,,,,,
2009-10-31,128.3,166.09999,140.2,177.59999,166.09999,196.3,203.7,223.7,0,0,0,0,,,,,,,,
2009-11-01,126.899994,165.9,138.8,177.4,166.5,196.9,203.2,224.59999,0,0,0,0,,,,,,,,
2009-11-02,127.399994,166.4,139.2,177.8,164.5,196.3,202.0,224.5,0,0,0,0,,,,,,,,
2009-11-03,128.9,167.59999,143.09999,180.09999,173.59999,202.8,214.79999,230.9,0,1,0,0,,,,,,,,
2009-11-04,127.0,166.7,138.7,177.8,164.2,196.8,202.9,224.7,0,0,0,0,,,,,,,,
2009-11-05,127.299995,166.5,139.2,178.0,166.5,198.3,202.9,226.09999,0,0,0,0,,,,,,,,
2009-11-06,127.0,166.9,138.59999,178.09999,165.7,197.8,203.09999,225.9,0,0,0,0,,,,,,,,
2009-11-07,128.3,167.09999,140.8,179.09999,168.2,199.0,207.09999,227.79999,0,0,0,0,,,,,,,,
2009-11-08,129.3,168.09999,142.5,180.7,172.7,202.09999,214.29999,231.79999,0,0,0,0,,,,,,,,
2009-11-09,130.0,167.5,141.0,179.09999,166.3,198.2,204.9,226.7,0,0,0,0,,,,,,,,
2009-11-10,127.1,168.0,139.2,179.3,166.09999,198.8,205.29999,227.5,0,0,0,0,,,,,,,,
2009-11-11,127.7,168.09999,139.8,179.9,167.4,200.2,207.2,229.0,0,0,0,0,,,,,,,,
2009-11-12,127.6,167.9,139.8,179.59999,166.8,200.59999,206.9,229.09999,0,0,0,0,,,,,,,,
2009-11-13,128.9,169.7,143.4,182.2,173.3,204.0,214.7,233.5,0,1,0,0,,,,,,,,
2009-11-14,128.0,168.59999,140.59999,180.8,168.0,201.7,208.2,230.59999,0,0,0,0,,,,,,,,
2009-11-15,128.09999,169.0,139.3,180.5,167.2,200.5,207.09999,230.59999,0,0,0,0,,,,,,,,
2009-11-16,128.5,168.8,140.09999,180.8,167.5,201.0,207.4,230.29999,0,0,0,0,,,,,,,,
2009-11-17,127.5,168.7,140.3,180.9,167.3,200.9,206.59999,229.29999,0,0,0,0,,,,,,,,
