time,06H,06V,10H,10V,19H,19V,37H,37V,melt_asc,melt_asc20,melt_asc30,melt_dsc,inc,x,y,01H,01V,lat,lon,t2m
2012-10-04,165.59999,194.9,169.3,195.09999,191.2,214.29999,212.0,236.9,0,0,0,0,52.5,226.0,117.0,192.63893,227.41173,-66.1828260013878,98.51723010830693,257.53293
2012-10-05,163.59999,194.09999,168.8,197.0,186.8,216.5,211.2,239.79999,0,0,0,0,52.5,226.0,117.0,195.95325,227.49718,-66.1828260013878,98.51723010830693,255.31808
2012-10-06,165.59999,195.4,168.59999,196.59999,187.09999,215.2,210.0,238.29999,0,0,0,0,52.5,226.0,117.0,192.30324,231.40965,-66.1828260013878,98.51723010830693,255.289
2012-10-07,164.09999,195.7,167.8,197.59999,186.8,216.2,209.79999,239.29999,0,0,0,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,258.20325
2012-10-08,166.59999,195.7,171.2,197.7,191.7,217.09999,215.9,240.29999,0,0,0,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,255.36935
2012-10-09,164.5,195.4,168.7,197.7,186.7,216.29999,210.7,240.4,0,0,0,0,52.5,226.0,117.0,192.9136,226.88681,-66.1828260013878,98.51723010830693,259.20935
2012-10-10,166.8,195.9,171.2,198.5,191.2,217.7,214.5,241.2,0,0,0,0,52.5,226.0,117.0,195.39171,226.92953,-66.1828260013878,98.51723010830693,263.86563
2012-10-11,169.9,196.9,175.2,200.09999,195.09999,220.7,221.9,243.59999,0,0,0,0,52.5,226.0,117.0,201.53203,231.37914,-66.1828260013878,98.51723010830693,261.73642
2012-10-12,168.9,195.4,174.0,198.3,193.7,218.0,217.79999,241.59999,0,0,0,0,52.5,226.0,117.0,199.0051,226.44734,-66.1828260013878,98.51723010830693,258.45584
2012-10-13,168.3,196.7,172.09999,198.3,194.09999,217.5,216.79999,240.9,0,0,0,0,52.5,226.0,117.0,192.93192,227.77185,-66.1828260013878,98.51723010830693,261.9458
2012-10-14,165.9,195.7,172.4,200.0,193.59999,220.7,218.5,244.09999,0,0,0,0,52.5,226.0,117.0,200.11597,230.70161,-66.1828260013878,98.51723010830693,267.05838
2012-10-15,172.09999,197.8,176.5,200.4,196.8,220.7,221.0,244.5,0,0,0,0,52.5,226.0,117.0,201.44048,228.97427,-66.1828260013878,98.51723010830693,262.92258
2012-10-16,171.09999,198.09999,176.59999,201.59999,197.2,221.4,222.29999,245.09999,0,0,0,0,52.5,226.0,117.0,200.72633,231.75757,-66.1828260013878,98.51723010830693,264.74326
2012-10-17,170.0,197.9,174.7,200.7,196.4,220.59999,220.09999,244.4,0,0,0,0,52.5,226.0,117.0,196.25844,229.8349,-66.1828260013878,98.51723010830693,264.5882
2012-10-18,169.0,197.7,173.8,200.9,195.0,221.9,220.4,245.4,0,0,0,0,52.5,226.0,117.0,194.78134,228.1991,-66.1828260013878,98.51723010830693,265.2052
2012-10-19,169.3,197.9,175.0,201.2,195.3,220.9,220.59999,245.0,0,0,0,0,52.5,226.0,117.0,197.27165,232.50832,-66.1828260013878,98.51723010830693,264.97
2012-10-20,171.7,198.5,176.09999,199.59999,199.3,220.4,223.7,244.59999,0,0,0,0,52.5,226.0,117.0,197.87592,231.6538,-66.1828260013878,98.51723010830693,262.40344
2012-10-21,168.5,197.09999,175.09999,201.2,197.0,221.7,223.4,246.09999,0,0,0,0,52.5,226.0,117.0,195.01938,232.54494,-66.1828260013878,98.51723010830693,261.03064
2012-10-22,171.0,198.59999,175.3,200.9,197.59999,220.59999,222.79999,244.9,0,0,0,0,52.5,226.0,117.0,194.5555,229.5114,-66.1828260013878,98.51723010830693,260.99167
2012-10-23,168.2,198.59999,173.59999,201.7,197.2,223.7,222.4,246.5,0,0,0,0,52.5,226.0,117.0,194.67146,228.26013,-66.1828260013878,98.51723010830693,265.4694
2012-10-24,171.09999,199.0,175.8,202.0,198.8,222.5,222.9,246.0,0,0,0,0,52.5,226.0,117.0,195.51988,231.14719,-66.1828260013878,98.51723010830693,263.9493
2012-10-25,168.59999,198.59999,173.0,201.8,195.09999,222.5,219.9,245.7,0,0,0,0,52.5,226.0,117.0,198.2055,227.0394,-66.1828260013878,98.51723010830693,261.93857
2012-10-26,168.0,198.4,173.2,201.4,194.7,221.2,220.2,245.0,0,0,0,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,258.1224
2012-10-27,167.2,198.0,172.0,201.0,192.9,222.09999,217.29999,245.29999,0,0,0,0,52.5,226.0,117.0,195.79456,227.13095,-66.1828260013878,98.51723010830693,258.126
2012-10-28,166.8,197.8,172.8,201.2,193.9,221.5,220.09999,245.59999,0,0,0,0,52.5,226.0,117.0,191.76611,231.21432,-66.1828260013878,98.51723010830693,258.7221
2012-10-29,168.2,198.5,173.3,200.4,194.9,220.0,219.5,243.9,0,0,0,0,52.5,226.0,117.0,196.0326,231.78809,-66.1828260013878,98.51723010830693,254.74706
2012-10-30,166.2,197.2,174.09999,202.0,196.4,223.5,223.9,246.4,0,0,0,0,52.5,226.0,117.0,194.67146,229.15128,-66.1828260013878,98.51723010830693,255.34442
2012-10-31,168.2,198.2,173.0,200.8,194.8,221.29999,220.29999,244.29999,0,0,0,0,52.5,226.0,117.0,188.52504,225.32426,-66.1828260013878,98.51723010830693,253.85544
2012-11-01,167.09999,198.4,172.4,201.5,192.3,220.79999,217.79999,244.09999,0,0,0,0,52.5,226.0,117.0,195.92883,231.29979,-66.1828260013878,98.51723010830693,253.64621
2012-11-02,168.59999,198.0,172.8,200.3,193.8,220.29999,220.09999,244.0,0,0,0,0,52.5,226.0,117.0,195.79456,228.11975,-66.1828260013878,98.51723010830693,253.94048
2012-11-03,166.7,198.0,171.8,201.4,192.3,221.0,218.79999,244.0,0,0,0,0,52.5,226.0,117.0,196.33778,234.81552,-66.1828260013878,98.51723010830693,254.9492
2012-11-04,166.9,197.4,172.2,200.0,191.8,219.2,218.9,243.5,0,0,0,0,52.5,226.0,117.0,191.94312,229.45036,-66.1828260013878,98.51723010830693,255.32832
2012-11-05,168.3,198.0,173.2,198.9,195.8,218.2,221.09999,242.5,0,0,0,0,52.5,226.0,117.0,195.31847,231.35472,-66.1828260013878,98.51723010830693,255.41855
2012-11-06,165.8,196.59999,172.3,200.4,193.4,220.59999,220.79999,244.29999,0,0,0,0,52.5,226.0,117.0,197.43034,232.22754,-66.1828260013878,98.51723010830693,258.38626
2012-11-07,169.5,198.09999,174.4,200.09999,198.5,220.09999,223.4,243.7,0,0,0,0,52.5,226.0,117.0,194.10992,230.06683,-66.1828260013878,98.51723010830693,263.3572
2012-11-08,170.4,199.3,176.09999,202.9,200.09999,224.2,222.79999,243.9,0,1,0,0,52.5,226.0,117.0,200.03052,234.02203,-66.1828260013878,98.51723010830693,268.84836
2012-11-09,172.9,200.8,179.9,205.29999,205.29999,227.7,233.09999,249.79999,0,1,0,0,52.5,226.0,117.0,193.42632,230.24994,-66.1828260013878,98.51723010830693,270.313
2012-11-10,170.2,200.09999,176.3,204.09999,197.7,225.0,222.59999,245.59999,0,0,0,0,52.5,226.0,117.0,195.35509,228.37001,-66.1828260013878,98.51723010830693,265.5649
2012-11-11,170.0,199.4,175.3,202.5,197.2,223.29999,220.79999,244.2,0,0,0,0,52.5,226.0,117.0,196.07532,229.44426,-66.1828260013878,98.51723010830693,262.06516
2012-11-12,169.3,199.8,175.2,203.7,197.4,224.5,223.5,245.7,0,0,0,0,52.5,226.0,117.0,196.76505,228.15027,-66.1828260013878,98.51723010830693,258.56372
2012-11-13,168.3,198.9,174.59999,202.59999,196.4,223.0,220.0,244.7,0,0,0,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,261.47827
2012-11-14,170.4,200.2,175.5,202.5,198.5,223.2,220.79999,244.09999,0,0,0,0,52.5,226.0,117.0,197.25333,228.91324,-66.1828260013878,98.51723010830693,266.9918
2012-11-15,168.2,199.09999,175.9,204.3,199.2,226.0,223.5,247.2,0,0,0,0,52.5,226.0,117.0,196.2096,229.23672,-66.1828260013878,98.51723010830693,269.17776
2012-11-16,173.0,201.5,178.4,204.7,201.2,225.59999,223.9,247.29999,0,1,0,0,52.5,226.0,117.0,199.8352,233.01492,-66.1828260013878,98.51723010830693,269.73676
2012-11-17,177.4,206.7,188.09999,214.29999,203.59999,229.7,225.79999,249.59999,0,1,0,0,52.5,226.0,117.0,197.25945,232.83792,-66.1828260013878,98.51723010830693,270.56882
2012-11-18,179.9,210.5,193.09999,219.0,211.0,234.4,229.79999,251.9,0,1,1,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,269.59668
2012-11-19,173.3,204.2,181.3,209.4,207.0,231.0,236.0,253.4,0,1,0,0,52.5,226.0,117.0,198.8464,230.29268,-66.1828260013878,98.51723010830693,270.65805
2012-11-20,174.5,204.0,181.4,208.4,204.3,229.4,230.59999,251.09999,0,1,0,0,52.5,226.0,117.0,196.60634,230.54292,-66.1828260013878,98.51723010830693,269.9593
2012-11-21,174.7,204.09999,180.2,206.59999,204.0,227.4,226.9,249.4,0,1,0,0,52.5,226.0,117.0,200.69582,235.27328,-66.1828260013878,98.51723010830693,267.39676
2012-11-22,172.9,203.09999,180.8,208.79999,200.0,227.5,224.5,248.79999,0,1,0,0,52.5,226.0,117.0,195.36119,233.11868,-66.1828260013878,98.51723010830693,264.128
2012-11-23,172.59999,202.2,177.5,205.0,199.2,224.2,223.09999,246.79999,0,0,0,0,52.5,226.0,117.0,195.3795,230.22552,-66.1828260013878,98.51723010830693,262.9453
2012-11-24,172.9,202.7,178.5,206.59999,201.5,228.2,225.2,248.7,0,1,0,0,52.5,226.0,117.0,198.87082,232.88675,-66.1828260013878,98.51723010830693,264.25937
2012-11-25,177.3,205.4,183.7,209.7,202.8,227.59999,227.0,249.2,0,1,0,0,52.5,226.0,117.0,196.44765,230.53072,-66.1828260013878,98.51723010830693,263.316
2012-11-26,177.2,206.0,184.5,212.0,202.8,228.59999,226.29999,250.0,0,1,0,0,52.5,226.0,117.0,198.06512,237.40959,-66.1828260013878,98.51723010830693,262.43808
2012-11-27,172.3,201.8,177.8,205.09999,199.3,225.29999,223.7,247.29999,0,0,0,0,52.5,226.0,117.0,196.06921,230.93967,-66.1828260013878,98.51723010830693,259.64645
2012-11-28,171.8,201.8,177.59999,206.0,197.3,225.4,222.29999,247.09999,0,0,0,0,52.5,226.0,117.0,195.79456,228.87051,-66.1828260013878,98.51723010830693,261.14728
2012-11-29,170.59999,201.09999,177.4,205.29999,198.8,226.09999,223.59999,248.09999,0,0,0,0,52.5,226.0,117.0,194.43953,232.00781,-66.1828260013878,98.51723010830693,265.08337
2012-11-30,178.8,207.0,186.0,211.9,202.3,226.0,224.59999,248.0,0,1,0,0,52.5,226.0,117.0,194.57991,230.37202,-66.1828260013878,98.51723010830693,263.92773
2012-12-01,170.3,201.0,177.8,206.0,197.8,226.09999,223.79999,248.59999,0,0,0,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,260.8671
2012-12-02,174.0,202.9,178.9,205.59999,199.3,224.79999,224.2,247.29999,0,0,0,0,52.5,226.0,117.0,197.43645,229.57243,-66.1828260013878,98.51723010830693,260.13037
2012-12-03,177.5,206.7,183.5,210.79999,198.9,225.7,224.59999,249.09999,0,0,0,0,52.5,226.0,117.0,192.93802,229.80438,-66.1828260013878,98.51723010830693,261.11575
2012-12-04,173.9,201.8,180.3,205.4,203.7,226.4,228.5,248.5,0,1,0,0,52.5,226.0,117.0,196.82608,230.6894,-66.1828260013878,98.51723010830693,267.36658
2012-12-05,177.09999,205.4,184.3,210.09999,204.9,230.4,229.2,250.79999,0,1,0,0,52.5,226.0,117.0,198.32759,232.32521,-66.1828260013878,98.51723010830693,269.38614
2012-12-06,209.5,245.9,241.2,257.6,251.9,265.1,249.59999,268.0,1,1,1,0,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,268.36795
2012-12-07,231.7,251.2,251.59999,262.0,248.2,266.3,250.2,267.19998,1,1,1,0,52.5,226.0,117.0,198.91965,232.07495,-66.1828260013878,98.51723010830693,270.40027
2012-12-08,211.9,232.29999,222.0,244.79999,234.4,254.9,241.5,261.0,1,1,1,0,52.5,226.0,117.0,197.32658,233.82672,-66.1828260013878,98.51723010830693,269.5981
2012-12-09,233.5,257.9,253.79999,265.9,248.9,269.6,249.4,267.9,1,1,1,0,52.5,226.0,117.0,199.76196,235.16953,-66.1828260013878,98.51723010830693,271.16638
2012-12-10,227.5,266.4,246.2,269.4,262.1,270.3,242.2,267.1,1,1,1,1,52.5,226.0,117.0,191.81494,236.33534,-66.1828260013878,98.51723010830693,270.76642
2012-12-11,246.4,266.1,260.9,269.0,253.59999,270.6,252.09999,265.8,1,1,1,1,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,269.47327
2012-12-12,256.6,265.0,263.6,269.8,259.4,270.6,254.09999,264.19998,1,1,1,1,52.5,226.0,117.0,202.69783,233.51543,-66.1828260013878,98.51723010830693,268.17343
2012-12-13,259.4,266.0,258.1,269.3,255.5,268.19998,250.59999,262.3,1,1,1,1,52.5,226.0,117.0,197.88202,238.66084,-66.1828260013878,98.51723010830693,268.19675
2012-12-14,259.6,265.9,258.4,268.4,253.59999,266.69998,241.9,255.09999,1,1,1,1,52.5,226.0,117.0,202.39265,234.37605,-66.1828260013878,98.51723010830693,265.99948
2012-12-15,255.09999,265.4,257.0,267.5,249.7,264.1,236.29999,250.0,1,1,1,1,52.5,226.0,117.0,199.38963,237.67204,-66.1828260013878,98.51723010830693,263.87363
2012-12-16,254.2,264.0,257.4,266.1,251.09999,264.1,239.09999,251.79999,1,1,1,1,52.5,226.0,117.0,206.6103,240.7056,-66.1828260013878,98.51723010830693,265.3077
2012-12-17,254.2,265.3,255.79999,266.9,251.7,265.19998,246.4,258.5,1,1,1,1,52.5,226.0,117.0,203.19223,236.90909,-66.1828260013878,98.51723010830693,267.04398
2012-12-18,253.4,264.3,256.19998,266.0,251.09999,263.69998,237.9,254.5,1,1,1,1,52.5,226.0,117.0,207.83105,241.59673,-66.1828260013878,98.51723010830693,270.01633
2012-12-19,255.09999,265.1,257.0,266.8,253.79999,264.4,240.5,255.29999,1,1,1,1,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,270.52518
2012-12-20,256.3,266.19998,258.19998,268.0,255.29999,265.19998,240.5,255.5,1,1,1,1,52.5,226.0,117.0,214.56343,246.321,-66.1828260013878,98.51723010830693,270.86948
2012-12-21,258.9,266.6,260.4,268.6,257.6,266.1,239.5,251.59999,1,1,1,1,52.5,226.0,117.0,215.44237,253.55998,-66.1828260013878,98.51723010830693,267.38757
2012-12-22,257.3,266.3,258.4,267.3,252.7,263.3,231.59999,246.0,1,1,1,1,52.5,226.0,117.0,229.6762,250.81332,-66.1828260013878,98.51723010830693,265.5261
2012-12-23,251.09999,264.69998,255.0,265.3,250.7,260.9,229.0,240.5,1,1,1,1,52.5,226.0,117.0,227.72913,253.16324,-66.1828260013878,98.51723010830693,265.24292
2012-12-24,255.5,265.6,258.3,266.6,253.2,263.69998,237.7,249.29999,1,1,1,1,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,267.81094
2012-12-25,251.9,264.19998,254.29999,265.0,250.5,262.1,237.0,250.7,1,1,1,1,52.5,226.0,117.0,236.49403,254.0727,-66.1828260013878,98.51723010830693,266.82672
2012-12-26,254.29999,265.0,255.5,265.69998,249.5,261.5,231.79999,243.79999,1,1,1,1,52.5,226.0,117.0,236.06067,258.92514,-66.1828260013878,98.51723010830693,265.02844
2012-12-27,258.69998,265.9,258.0,266.3,248.5,260.8,220.9,234.2,1,1,1,1,52.5,226.0,117.0,241.49907,255.41551,-66.1828260013878,98.51723010830693,265.53653
2012-12-28,259.1,265.6,257.6,265.6,249.09999,261.69998,225.4,237.59999,1,1,1,1,52.5,226.0,117.0,236.24377,258.96176,-66.1828260013878,98.51723010830693,264.05585
2012-12-29,258.9,265.69998,259.5,267.19998,254.59999,264.5,242.4,253.29999,1,1,1,1,52.5,226.0,117.0,,,-66.1828260013878,98.51723010830693,264.34018
2012-12-30,261.9,266.69998,260.69998,267.69998,251.79999,262.4,229.59999,239.0,1,1,1,1,52.5,226.0,117.0,242.49397,256.2578,-66.1828260013878,98.51723010830693,263.64236
2012-12-31,261.3,267.0,260.5,267.6,255.4,264.1,243.09999,250.29999,1,1,1,1,52.5,226.0,117.0,241.64555,260.12146,-66.1828260013878,98.51723010830693,263.00473
2013-01-01,260.0,266.1,260.9,267.19998,257.6,264.69998,240.5,246.59999,1,1,1,1,52.5,226.0,117.0,243.34239,259.98108,-66.1828260013878,98.51723010830693,265.31863
2013-01-02,263.19998,267.5,263.0,268.4,260.5,265.8,251.59999,255.7,1,1,1,1,52.5,226.0,117.0,234.80942,256.26392,-66.1828260013878,98.51723010830693,268.04837
2013-01-03,260.19998,266.3,261.19998,267.19998,259.6,264.19998,248.79999,252.59999,1,1,1,1,52.5,226.0,117.0,230.8359,259.4867,-66.1828260013878,98.51723010830693,269.24744
2013-01-04,260.19998,266.3,261.4,267.19998,259.5,263.69998,246.5,250.2,1,1,1,1,52.5,226.0,117.0,239.00876,259.6881,-66.1828260013878,98.51723010830693,268.79022
