time,06H,06V,10H,10V,19H,19V,37H,37V,melt_asc,melt_asc20,melt_asc30,melt_dsc,inc,x,y,01H,01V,lat,lon,t2m
2012-10-04,136.7,206.59999,135.2,201.2,150.7,207.59999,168.5,223.4,0,0,0,0,52.5,40.0,159.0,186.39485,234.90097,-70.62072922853199,-71.77884040695511,266.74548
2012-10-05,137.7,206.79999,136.09999,201.09999,150.59999,206.9,169.7,222.7,0,0,0,0,52.5,40.0,159.0,,,-70.62072922853199,-71.77884040695511,263.75827
2012-10-06,136.8,206.4,135.0,200.3,149.59999,206.59999,170.0,221.5,0,0,0,0,52.5,40.0,159.0,185.94928,233.89386,-70.62072922853199,-71.77884040695511,262.14954
2012-10-07,137.2,206.29999,136.2,200.8,149.7,206.0,168.7,222.4,0,0,0,0,52.5,40.0,159.0,,,-70.62072922853199,-71.77884040695511,261.1828
2012-10-08,137.3,206.5,135.0,200.09999,147.0,205.5,165.9,221.2,0,0,0,0,52.5,40.0,159.0,185.46098,233.66191,-70.62072922853199,-71.77884040695511,260.05472
2012-10-09,137.5,206.09999,136.59999,200.9,154.59999,209.29999,179.0,225.5,0,0,0,0,52.5,40.0,159.0,188.06116,236.57338,-70.62072922853199,-71.77884040695511,259.33203
2012-10-10,142.0,206.7,141.4,200.59999,161.3,208.5,189.59999,228.0,0,0,0,0,52.5,40.0,159.0,,,-70.62072922853199,-71.77884040695511,268.4813
2012-10-11,140.0,206.09999,139.3,200.2,157.2,206.0,184.09999,223.7,0,0,0,0,52.5,40.0,159.0,185.15579,232.61818,-70.62072922853199,-71.77884040695511,263.0118
2012-10-12,142.2,206.59999,142.09999,200.59999,161.8,208.5,190.8,227.09999,0,0,0,0,52.5,40.0,159.0,182.98898,231.58665,-70.62072922853199,-71.77884040695511,266.68628
2012-10-13,140.7,206.2,139.7,200.0,156.8,205.59999,183.59999,223.9,0,0,0,0,52.5,40.0,159.0,,,-70.62072922853199,-71.77884040695511,266.52747
2012-10-14,141.0,206.09999,141.09999,200.59999,157.2,205.5,185.4,224.29999,0,0,0,0,52.5,40.0,159.0,187.9574,233.88776,-70.62072922853199,-71.77884040695511,260.54105
2012-10-15,140.59999,205.9,139.8,199.59999,157.5,206.09999,185.8,223.7,0,0,0,0,52.5,40.0,159.0,191.19846,233.82062,-70.62072922853199,-71.77884040695511,256.317
2012-10-16,141.9,206.2,143.5,201.8,164.2,209.5,198.7,230.5,0,0,0,0,52.5,40.0,159.0,188.70815,233.4727,-70.62072922853199,-71.77884040695511,263.82123
2012-10-17,141.59999,206.09999,140.5,199.7,158.2,205.79999,187.3,225.2,0,0,0,0,52.5,40.0,159.0,187.51183,233.39336,-70.62072922853199,-71.77884040695511,256.54617
2012-10-18,141.0,205.9,140.7,200.4,159.3,206.29999,190.59999,226.59999,0,0,0,0,52.5,40.0,159.0,186.35213,233.02103,-70.62072922853199,-71.77884040695511,255.73766
