site,twc,06H,06V,10H,10V,19H,19V,37H,37V
aws11,0.0,199.24363234308564,230.59628440875522,209.0047751147981,239.57642590308237,218.28881690650311,246.60750276587973,215.33984116192798,239.72176367611044
aws11,0.01,200.34262000801255,231.5198635794175,210.38837329125974,240.61662151188398,219.87928413502283,247.82368162641413,219.41288740272225,243.9192087308985
aws11,0.02,201.37397864982503,232.26851181822963,211.57450649260628,241.383727388215,220.66056210480903,248.17053544623838,220.5252983892356,244.92144876650696
aws11,0.03,202.36496164962819,232.99614686181928,212.69180073979643,242.12147226430758,221.6666051791082,248.81878091747063,221.9563102796064,246.29055508922463
aws11,0.04,203.31756293334135,233.70335828773025,213.32977948306055,242.37439363832112,222.60653602663368,249.44607398377963,223.26997791808282,247.55505991983603
aws11,0.05,204.0903797999274,234.23157934837693,214.33713153222328,243.07135295990074,223.48559243046503,250.05224459542796,224.47852866001008,248.72575794422133
aws11,0.06,204.97437086810908,234.90279103480094,215.2889354143444,243.741982745595,224.30847199128218,250.63732570689734,225.5922705381101,249.81157860793454
aws11,0.07,205.8250304170721,235.55523578999666,216.1888415828553,244.3873259302151,224.80841667274052,250.90806551930046,226.6200749938988,250.8201129664119
aws11,0.08,206.6438415527306,236.18946927197538,217.04018534572032,245.0083932844922,225.54355236729884,251.46513849039874,227.56969364252336,251.75794848384137
aws11,0.09,207.43220041506686,236.80603770911713,217.8460307974076,245.60616401111255,226.23354493272618,252.0013792605983,228.44797509627156,252.6308897085809
aws11,0.1,208.19142477347748,237.4054768404748,218.6092039338788,246.18158523716303,226.88160683584385,252.51725365153152,229.26101967453232,253.44410928896616
aws11,0.11,208.78647536232972,237.8369031874629,219.33231876574774,246.73557132611927,227.49067627931785,253.0132715899457,230.0142942456711,254.2022553233299
aws11,0.12,209.49375826131282,238.4066034274279,220.01779865031324,247.26900337599403,228.06344544864933,253.48997387501552,230.71272060583098,254.90953057422686
aws11,0.13,210.1753986042743,238.96064970855025,220.66789420233832,247.78272902110055,228.34405941297223,253.66879305407122,231.3607456707257,255.56975301906948
aws11,0.14,210.8324609650608,239.49952939299783,221.28469865411253,248.2775625454521,228.86315523257642,254.12143906646966,231.96239872029267,256.1864036355669
aws11,0.15,211.46595732374013,240.023716565214,221.87016124465868,248.7542852713862,229.3522478105056,254.555891348204,232.52133910353425,256.7626651748909
aws11,0.16,212.07685041646448,240.5336718838806,222.42609903863408,249.21364617284158,229.813286753521,254.9727592715692,233.04089668307716,257.30145436562424
aws11,0.17,212.52073675651917,240.8684570168701,222.55785364814705,249.22264934188806,230.24807191593683,255.37264946891568,232.99152521855882,257.2349329131645
aws11,0.18,213.09193157687568,241.3544047757884,223.07205042694298,249.66309854441303,230.41257702426594,255.491134793117,233.47070235971688,257.738845045283
aws11,0.19,213.6430857270078,241.8273564633078,223.56108401848982,250.08780325585818,230.81083601647308,255.87107239827495,233.91717905856189,258.21085312020375
aws11,0.2,214.17499382487523,242.28772063681845,224.02635065631276,250.4974057170779,231.18696129703068,256.23524042146886,234.33336697416937,258.65315404672094
aws11,0.28,217.69510112524063,245.4220879043636,227.03376776623642,253.29895450929348,233.1261936537691,258.20251453152497,236.80376428685597,261.33657809440126
aws11,0.36,220.21352508821076,247.80565916547872,228.79627214194235,255.1015923304742,234.57563393405493,259.84421355742523,237.76593691811914,262.46623279344954
aws11,0.44,222.1196659196578,250.01527851237014,229.96231370758548,256.4502024349311,235.36325208529288,260.85331674472997,238.64336076304818,263.52244459334105
aws11,0.52,223.6681769881391,251.7700667356514,230.9546286780135,257.9106098374665,235.86548422831586,261.5846154389873,239.09866196632018,264.13246220569886
aws11,0.6000000000000001,224.8545908123276,253.2245051639785,231.46039410211594,258.7333560234723,236.1927163398952,262.136440662213,239.18253394988633,264.35002496008616
aws11,0.6799999999999999,225.7752629543119,254.45691048703932,231.77241547516672,259.36238391683275,236.42238405268017,262.5838660249118,239.38162160193494,264.68533668556415
aws11,0.76,226.47345445234808,255.49414941692018,231.963955719986,259.8708367642551,236.5734437828247,262.9457204583158,239.29066032737708,264.71953859527815
aws11,0.8400000000000001,227.0106246453592,256.3891312367527,232.36688905391154,260.60833807726584,236.56440528795827,263.2759070851216,239.39734537379528,264.95232720004
aws11,0.9199999999999999,227.40389257540087,257.1503794726406,232.39107926020716,260.9405423459804,236.62937259534317,263.55284084928047,239.271581546621,264.9569927982332
aws11,1.0,227.69594059852741,257.81747414040734,232.37837614740434,261.23099353924,236.51973465583654,263.6376162639493,239.19417294892548,264.99443045221074
aws11,1.4,228.02456787135222,260.2234764496263,232.1515954012868,262.4629197986415,236.40577813423644,264.4755164748402,239.39116455996708,265.86355871379664
aws11,1.8,227.5860772618494,261.63806241145403,231.43310307978163,263.26142008814196,236.2630103869542,265.1777008082056,239.02518545568853,266.0595285983684
aws11,2.2,226.6256868563042,262.5650110025888,231.02798375657088,264.1969732246135,235.8101034731143,265.51402441296943,238.6100311079834,266.1718500909913
aws11,2.6,225.55315225261,263.2541080349362,230.39796224998824,264.90132018498326,235.18184061718196,265.734976134895,238.2014135123542,266.2637653825143
aws11,3.0,224.41101323799393,263.73482455876945,229.63824428060764,265.3168158518314,234.6531766327781,265.91290685186897,237.80460471263,266.34247276838596
aws11,3.4000000000000004,223.11795133804804,264.03955362855885,228.69749345967344,265.5510754668289,234.1272375662154,266.045466069376,237.41869964737873,266.4085355088673
aws11,3.8000000000000003,221.96324130612103,264.44451708448247,227.7871278381082,265.6953456849625,233.51050232253039,266.12044742173777,236.96337005687056,266.4541779145247
aws11,4.2,220.97529695245217,264.9005511637002,226.78550588087813,265.7401848500182,232.9658900822792,266.1653026659074,236.57301733307693,266.49208346233627
aws11,4.6,219.81604359004976,265.13495457051914,225.79271846341877,265.721310664764,232.4212459153753,266.1697657471525,236.20033869884213,266.5168496584547
aws11,5.0,218.59010639670956,265.2255087164288,224.81102615981155,265.6489975678601,231.80022700166515,266.12021434982233,235.83603461652842,266.5275131603377
aws11,6.666666666666667,213.25286926394824,264.6983420090195,220.61197512986806,264.8006619381015,229.33656049405894,265.5643150876078,234.27142453082408,266.40209509164094
