,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp
0,183.4731419039587,221.42025968904397,181.17103772134578,217.19485967162825,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0
1,181.0333888277532,217.17336055486143,183.1600463705219,218.32577206411318,189.53844250095224,220.72371021037708,215.27282171763258,237.58232420677083,7,1
2,184.56212322030444,217.38786245023897,187.12403515455063,216.3504467481676,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2
3,181.5199543668114,218.50276286713498,184.63816180659614,220.28486081136586,191.03982991615888,221.76682945698911,215.70113366226437,235.34077068834677,13,3
4,183.17922991051512,220.4398907537336,184.54251989874336,220.17686965677387,191.01968561206218,221.74405298382067,215.70113366226437,235.34077068834677,7,4
5,181.5838589687865,216.81456578142055,184.20946983781565,218.47260898551107,190.87944180468497,221.3068468314298,215.9187440174393,238.41694413151671,44,5
6,189.83403377692335,218.6241068246788,189.2516433004589,216.38283758387357,195.40766400170622,218.84478751149646,215.37925970762467,233.93291073505506,4,6
7,186.04998299309585,217.53835567150045,186.1977113236829,215.75364096718172,191.23803691016855,216.08587898341548,213.54335374614354,231.91735177646615,57,7
8,182.7938099672516,221.12937358668015,183.91309959686936,219.45797597312267,190.4718502327495,221.01297985106967,214.8783494256145,237.06856608230336,110,8
9,184.1453023865321,221.10738861249527,184.26956940748786,219.28461162821833,190.28146743404207,221.09006869072238,214.43133329275395,236.61823428340003,57,9
10,187.36590187510836,216.9137639982704,188.5052567825278,216.71546743016467,193.52716400665358,218.2839328486799,214.26305774472092,233.32300629800588,33,10
11,187.91869426764706,217.23855928349445,188.5775117375618,216.78655082215394,193.9834640043048,218.77986595308406,214.26305774472092,233.32300629800588,8,11
12,184.3875853359994,221.30794057788282,184.56880510191274,219.4576995453287,190.68053112538732,221.37019227798854,214.6200162500197,236.84925102309725,28,12
13,186.5166334783016,217.11056186476569,185.91233457388074,214.25445606750984,192.6883373830965,216.1863164263648,213.78733771329618,232.66231975408397,59,13
14,186.50324357875405,217.10905713252902,185.91659131907096,214.26852486546488,192.69335511350454,216.19853718446876,213.78103485652272,232.66517577198323,9,14
15,189.9067431399605,217.59198343981586,189.76105592224465,215.55187952748418,194.9027436432143,216.8410075546474,213.6018152126249,232.60779595266106,5,15
16,187.24402714673053,216.6131194202776,187.70129467423598,215.8120314873565,193.1074257031081,217.7733171324241,212.70932720047716,231.78187264464825,10,16
17,185.5610881591372,218.11194680940497,184.43864151338383,214.9144978143531,190.651614491421,217.11575871967875,211.98371609587628,232.35261192253023,8,17
18,186.86277511777772,217.7545499692993,188.80746710657175,216.93471536528685,196.6996863609155,220.4913842883493,213.87028991312894,235.68420367997186,2,18
