twc,06H,06V,10H,10V,19H,19V,37H,37V
0.0,187.36590187510836,216.9137639982704,188.5052567825278,216.71546743016467,193.52716400665358,218.2839328486799,214.26305774472092,233.32300629800588
0.01,187.2148948405511,216.43157701724823,188.18554399717067,215.97645567598184,192.88872799301325,217.37410102483386,212.7895965147166,232.13389899356147
0.02,187.08035872107516,215.9870667542276,187.87128871316025,215.2762702663642,192.26853612613024,216.49335381863955,211.44371479606696,230.9961772831383
0.03,186.9478825438208,215.5610017411188,187.55809102632008,214.60019628724345,191.66643294012945,215.63846949732644,210.19731162691707,229.90828795756937
0.04,186.8205159869475,215.15301687089715,187.02843213889133,213.70219618937853,191.09971522715514,214.82573174033882,209.05388148940636,228.8852751832795
0.05,186.70141829716587,214.76417460924952,186.75114264498288,213.09550911480724,190.5788340700017,214.06610579824357,208.01533282606763,227.9377812747987
0.06,186.48586955416522,214.27698322121557,186.49875307977786,212.52746135260068,190.1091206841731,213.3658819521856,207.08045418587795,227.07140408083566
0.07,186.39057677655165,213.93034034705045,186.2738733872585,211.99991684998813,189.6926743684928,212.72812004176905,206.24582730518048,226.28805043987106
0.08,186.30861833162376,213.60508582242483,186.07780505414456,211.51373979542797,189.32958877919927,212.15370909532075,205.50669014204837,225.5871155554529
0.09,186.24066198860416,213.30145616680292,185.91097908026845,211.06907263753507,189.01871515532616,211.64208088862102,204.85753712869106,224.96632966934027
0.1,186.18707690206148,213.01950032666187,185.77324055993714,210.665535500349,188.758141740745,211.19168960964254,204.2925125826297,224.4223462396142
0.11,186.04205817358115,212.642271170039,185.6640382375374,210.302369927484,187.97954653633246,210.19656479433309,203.80566520539244,223.95115072243846
0.12,186.01854060228692,212.40448048919552,185.58255370173995,209.97854394770982,187.82581630496122,209.8771666244008,203.39111205290016,223.54834678904282
0.13,186.0093857912362,212.18773239198066,185.52779116246634,209.69283003970438,187.71447984623165,209.61109270354532,203.04314329122042,223.20935793886116
0.14,186.0143561632847,211.99163664299425,185.25233914466875,209.17576889246797,187.64273946024088,209.3953047247072,202.75628768481366,222.92956970810255
0.15,186.03314480027612,211.8157451555822,185.25177816096704,208.96694165960335,187.6078243757644,209.2267070940997,202.52535165172594,222.70442946056187
0.16,186.06539349115485,211.65956508871966,185.27440922177098,208.79185297654809,187.607030397893,209.10220782332013,202.3454403042204,222.5295154668241
0.17,185.99714238034716,211.39784977309532,185.31900149135626,208.6489525729608,187.63774609776127,209.01876270500816,202.21196611666835,222.40058352149865
0.18,186.0563072896136,211.28090450927886,185.38432959551596,208.53668022408263,187.69746959508004,208.97340706507322,202.1206490795564,222.3135970291959
0.19,186.1276725175106,211.18201730095063,185.46918607138042,208.4534817963384,187.7838186885251,208.96327816983398,202.06751102622525,222.26474489377074
0.2,186.2107859252042,211.10060469483574,185.57239034476552,208.39782172251103,187.89453624468956,208.98563054352283,202.04886603000935,222.25045042000352
0.28,187.1393031285678,210.8935766603678,186.71513052376534,208.54262522749764,189.42776849099178,210.04772056099483,202.7849333874641,223.02666757967214
0.36,188.46321234282473,211.3631673238872,188.4972860383682,209.72320892009512,191.59726522733936,212.02324588388126,204.3524733013561,224.6367472884785
0.44,190.22318163558322,212.50344053823247,190.61324584742036,211.49503134824897,193.15884244410768,213.52218633891678,206.15532380632987,226.4738308606506
