twc,06H,06V,10H,10V,19H,19V,37H,37V
0.0,177.78457584179233,206.19778637927828,181.32086150923791,208.69152162380914,188.28968478253182,212.46125537270802,210.98350136052622,229.830543851167
0.01,180.10967801218425,208.02991842697824,185.23629065809868,211.88380878779523,193.80073891682645,217.241968834596,215.49733436655313,234.0371247620936
0.02,182.39003964620116,209.85017808076483,188.69839784536913,214.65498911401357,198.73238462402418,221.51032942132835,219.40338583411412,237.66526824724625
0.03,184.50515269267584,211.5217714533369,192.10026514918746,217.43896263966857,203.18039669455692,225.35739860835665,222.85744945615215,240.86924509491251
0.04,186.60103955054618,213.20729818202793,195.2756603910943,220.04417937202567,207.20022130147683,228.8339232011063,225.91992840389665,243.7074844667813
0.05,187.41412351287727,213.53562978414425,198.241431507296,222.48421296277493,210.83916790642422,231.9825149823178,228.64104832265696,246.22813926036585
0.06,190.40076979449807,216.3773125984925,201.01303433551618,224.77134135191272,214.13801265943664,234.8394185068887,231.06310135472273,248.47144337779048
0.07,192.4784151319212,218.16897335634476,203.0622181376601,226.42389672414996,217.1321957448081,237.43579259575773,233.22207513085843,250.471406153151
0.08,194.26784137428825,219.65657251531175,205.71858494922432,228.76120459387337,219.40532141622086,239.30938696190898,235.14886079516012,252.25705609140138
0.09,196.00863600423259,221.11363494986256,208.15443880273472,230.87168217409155,221.90063926639417,241.48572025243686,236.87016696657037,253.85337203590083
0.1,197.58951760879282,222.41542695395316,210.35991256742608,232.76090953836695,222.15747515138767,241.02790483407284,238.409224325977,255.28199350108173
0.11,199.1646687287469,223.73420622717788,212.3923529252583,234.49501975420955,225.43602405708307,244.40994039172924,239.78633839651684,256.56177221145634
0.12,200.67071508271601,224.9978269479012,214.27973921650292,236.10427535539435,227.65356842165497,246.50055833608081,241.01933031862075,257.7092075059954
0.13,202.0408850786564,226.1303369331669,215.87278772245426,237.421011919766,229.5414984469524,248.23781430243451,242.12389357976292,258.73879539693417
0.14,203.42488589788732,227.2986118586566,217.52269416381102,238.83352262702078,231.20918680133218,249.75607862775965,243.11388664098433,259.6633123926815
0.15,204.75258377663377,228.42296827133086,219.06722585700464,240.15934634108783,232.70380703827968,251.11009773079138,244.00157589430003,260.49404925763827
0.16,205.9569712943917,229.4273329057583,220.51475476481406,241.40576175922783,234.05318009613043,252.33025787971798,244.79783955005752,261.2410057670664
0.17,207.18210971766572,230.47230250794183,221.87256007113956,242.57893367321353,234.85483340093788,252.98010768699353,245.5123403486425,261.9130546277602
0.18,208.2847333523526,231.3964290498605,223.14710890469382,243.6842388419666,235.9865640209969,254.00845140160982,245.29669384473831,261.48727844268734
0.19,209.41718784360543,232.3696399454823,224.16799546208688,244.53123368244528,237.0183450486487,254.948056410984,246.1298306913887,262.37898913843776
0.2,210.50579881477745,233.30859055402001,225.29846739139418,245.5208521343896,237.9603618897668,255.8083993425744,246.7859189584236,263.058399334443
0.28,217.64690892615755,239.51999558924345,232.10309472814922,251.564132262255,243.13048277585085,260.61499663401804,249.7229976632674,266.03002975256334
0.36,222.9761357303114,244.32451212902922,236.1831192400773,255.32823937797335,245.1758436934894,262.57100222564515,250.889560209657,267.2630627001771
0.44,226.87457714650446,247.95770047766487,238.88520116424277,257.99163533183935,246.6950818874408,264.19493820700154,250.7413061480926,267.21737123951834
0.52,229.86905206003047,250.88188902554677,240.64122423315771,259.8577413283376,247.51776981526461,265.1805003666186,251.14703175231787,267.744680211637
0.6000000000000001,232.138024199243,253.21072725890355,241.65669968148893,261.055891205471,247.62282125659314,265.455338582637,251.33482101414876,268.0583570723669
0.6799999999999999,233.94725238524066,255.18186492147217,242.43083570262627,262.07503901003713,247.96454615662296,265.9994453721124,251.40646595766015,268.25681326940406
0.76,235.26007102039026,256.7129162347939,242.8252884408881,262.7320977252869,247.8298173770913,266.053520494857,250.99317848025137,267.97198251537736
0.8400000000000001,236.3300520647047,258.05757088769826,243.1934785844231,263.39154713881493,248.02417788936427,266.4537795202671,250.94594246464877,268.04891653698576
0.9199999999999999,237.03153618731926,259.29987125508876,243.43665222842466,263.9343617480918,247.84450959130217,266.46457951672676,250.8374781660498,268.06773246652386
1.0,237.6741618222746,260.29544496855254,243.48554966451337,264.2784812805686,247.97685954899978,266.7993529122436,250.77645174020844,268.1361066341032
1.4,239.0577227207675,263.5503889258964,243.47480029537456,265.9592717292461,247.50593283919272,267.29714959742546,250.77260609536873,268.7361722143922
1.8,238.9748631850085,265.5462990777635,242.91807853752974,266.8811446575061,247.46225243769322,268.25499123117703,250.44953112605882,268.9981668843582
2.2,238.2714576457873,266.79846478339823,242.25433123210976,267.7512619869246,247.09586679252385,268.77681474845264,250.05021508322102,269.16662092071783
2.6,237.09326041993532,267.578287462864,241.57861825789428,268.52896359865537,246.6202441512067,269.1470891119126,249.643693253062,269.30945423950004
3.0,235.81453769654397,268.1391712210094,240.79529146966186,269.14986140305746,246.09050782974214,269.42787011824373,249.17727746375755,269.43846979639557
3.4000000000000004,234.37017274315042,268.50615725790396,239.85429663972047,269.52364567688505,245.46710512410394,269.6352858786003,248.76073374517978,269.5439092096572
3.8000000000000003,232.87560264423317,268.7370738177905,238.78223592923564,269.7297287761344,244.85800280465426,269.77409063570883,248.3462949520694,269.6287414317762
4.2,231.3553289983939,268.85584576817564,237.66083074945422,269.8151797760752,244.21900702290193,269.84920381755353,247.93005569990936,269.69259169205105
4.6,229.78739693977545,268.8750522579199,236.48104648517025,269.8004454883663,243.51815022979562,269.8631357547296,247.51025598896138,269.7351439474844
