thickness,lwc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,lwc_dup
0.01,0.0,0,136.68773858783723,203.8148166893863,137.00350122422,197.2624264744395,147.53222364391974,195.80173238275512,180.88581000454013,210.89836917188762,125.48816142674404,192.96485938088577,0.01,0.0
0.01,0.0002,1,137.54028093150347,204.23796657513776,138.47712547693334,198.09607073882285,149.64607248987562,197.19686727685445,182.85079676650292,212.40256646474222,125.4933571787062,193.00654071216385,0.01,0.0002
0.01,0.0004,2,138.3812730150714,204.64625581243638,139.910690642733,198.89366621646644,151.65185489122436,198.49673900695964,184.58131848489217,213.68836979382965,125.50791825711406,193.04246332107542,0.01,0.0004
0.01,0.0006,3,139.2115715882538,205.0741401898366,141.31680621228512,199.6787939963796,153.60975678255272,199.7654809811151,186.2650346481583,214.9387178901012,125.52149179595789,193.08052544974768,0.01,0.0006
0.01,0.0008,4,140.0262236120896,205.48525482333523,142.7254589595937,200.51613403933496,155.5212300758696,201.00430800703128,187.9036109392284,216.15503625596884,125.53389050829529,193.11735561517395,0.01,0.0008
0.01,0.001,5,140.82746018986145,205.8927819110781,143.95205911665497,201.1002292901603,157.38766084106265,202.214339736129,189.49861934208067,217.3386580779869,125.54523598029873,193.15422890764373,0.01,0.001
0.01,0.0012,6,141.6155740068413,206.29685499905895,145.2838819609724,201.86329096282563,159.26143997063608,203.49103195488746,191.05154694785017,218.49083339866235,125.55555051352847,193.19113263574044,0.01,0.0012
0.01,0.0014000000000000002,7,142.39082223702314,206.69744756501075,146.59320762349003,202.61883049297006,161.04913562389763,204.6621349041047,192.56380357119698,219.61273706719572,125.56485433774625,193.22805207672127,0.01,0.0014000000000000002
0.01,0.0016,8,143.1534505465336,207.09452198160272,147.8774235892447,203.3624547052231,162.79440892813702,205.80549708034715,194.03672837660778,220.70547566753646,125.57316637180354,193.26497299911165,0.01,0.0016
0.01,0.0018,9,143.90369661743813,207.4880448050695,149.13710030292336,204.094403756161,164.49879909589453,206.92255669323518,195.47159567549815,221.77009358465588,125.58050455041618,193.3018820096697,0.01,0.0018
0.01,0.002,10,144.6417913809262,207.87798910437948,150.37279200169883,204.81490385714258,166.16357475134893,208.01430954103915,196.9014583260233,222.86508157031494,125.58688601418899,193.33876657401768,0.01,0.002
0.01,0.0022,11,145.36795968059582,208.26433440239228,151.5850396958709,205.52417469967918,167.7899104912276,209.08162415395975,198.26616605162926,223.8814074106505,125.59232723709816,193.37561497218826,0.01,0.0022
