snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
0,174.26563021768004,209.692610061769,177.88054278084766,212.51888419067595,184.41849062252413,215.04869166512438,208.294388005673,230.8972569945736,0.0,0,11
1,197.27005683034133,224.83922347097595,211.90986297580574,235.17164846634176,227.46443048586866,245.4394801139756,243.44383845984203,257.2247641580299,0.1,0,11
2,212.33326202166955,235.17131385309716,229.62066303302544,247.5301223712478,244.43503733694658,258.0630668217795,254.50484413842696,265.64968500968115,0.2,0,11
3,222.85884651721707,242.8803817063539,239.23918085548078,254.63288564574646,251.63508547003931,263.775145826033,258.49228023081474,268.9929389630408,0.30000000000000004,0,11
4,229.95971224312697,248.25243260592643,244.70399580122094,258.96721333635526,254.407731692745,266.0841170194303,259.30902616257646,269.67221339338374,0.4,0,11
5,235.29147952329365,252.61379710020668,248.07306970253066,261.9207578864787,256.0192229859091,267.7003618078679,260.02728748464773,270.48217588644303,0.5,0,11
6,238.79339872237674,255.54217256041267,250.16479763853027,263.9531851030833,256.54455606167767,268.34056227656123,260.0152067064568,270.58696773159625,0.6000000000000001,0,11
7,241.61555645067688,258.14520413492727,251.41790353897673,265.3237666456769,257.0902771312081,269.10150388639624,260.2559123833296,270.9856462113072,0.7000000000000001,0,11
8,243.72165757022478,260.24020243318415,252.2317258625534,266.3610830137339,257.1975634423773,269.41302480175017,260.17762079943464,271.0489144145362,0.8,0,11
9,245.32350549264675,262.13856949206985,252.96755327361973,267.4098876172382,257.2461286319673,269.6758681017464,260.27934841539815,271.3088192626955,0.9,0,11
10,246.56456040562358,263.6284265296113,253.32660433764516,268.0896718793899,257.48431773466785,270.1611887954316,260.11826746866075,271.27923192179384,1.0,0,11
11,249.10348863675156,267.66205361591057,253.9225164833937,270.2036827383024,257.59463932984596,271.18428581722094,260.06059937056017,271.833142908398,1.4,0,11
12,249.5847905497263,270.05698297842116,253.90451678067487,271.72015713110727,257.5407226894961,272.0984476601412,259.8796806799948,272.22992971613735,1.8,0,11
13,249.1388201272487,271.62994699228244,253.32102308473551,272.6479460341933,257.40600839136084,272.86847912690064,259.58944395375215,272.5096791480908,2.2,0,11
14,248.2107034507277,272.76397495706135,252.58219545499074,273.4340192657497,257.0543628764569,273.4067935508407,259.26347922864846,272.7466988800936,2.6,0,11
15,246.9237435577393,273.5163607477142,251.58944080015223,273.93389920236524,256.57264650771344,273.8003438148911,258.91519924046617,272.94783588629326,3.0,0,11
16,245.3342791320497,273.89409093477303,250.47236889184785,274.3552388975858,255.9912038294608,274.07745176808436,258.5418588165761,273.1144520290143,3.4000000000000004,0,11
17,243.71931936450437,274.22750401694884,249.32305061781292,274.64836811377535,255.3279645043104,274.25391086277375,258.14360516585606,273.2464587780118,3.8000000000000003,0,11
18,241.9407067391022,274.30492253666125,248.04204571561814,274.7608705762934,254.59461104418514,274.33976346791576,257.7209525192906,273.34407647183974,4.2,0,11
19,240.101550498924,274.2471649937357,246.67753248177328,274.73699948564723,253.79956993319192,274.3426976433442,257.2747285322913,273.40787801267015,4.6,0,11
20,238.26974434117523,274.13849740028263,245.25273051433297,274.60191839526897,252.95516888859493,274.2730025456514,256.80599678142795,273.4387138321507,5.0,0,11
21,230.5317473600478,272.77113713136697,239.05877753955156,273.2245794281357,249.44301904957567,273.73857413791603,254.6389665897618,273.2375676933369,6.666666666666667,0,11
22,223.29590514741767,270.9812907146951,233.21752906423052,271.39294759267824,245.15257721051285,272.00528073506905,252.20164333457976,272.5769948198866,8.333333333333334,0,11
23,214.14744801388522,269.66081876653965,227.1902667021669,268.6703093893192,240.73058569209124,269.7638224539308,249.7477894335777,271.7156862633966,10.0,0,11
24,207.5280227205957,267.1620349265841,221.49152371014188,265.70492641766253,236.331804676348,267.2118519326707,246.988701815482,270.36909760288495,11.666666666666668,0,11
25,201.2771828524494,264.5459278573364,212.30508311249838,264.11706834488393,232.03802325189946,264.47693680646495,244.17359540876055,268.8041317028743,13.333333333333334,0,11
26,195.7593433938289,261.79458334032,206.91517104867668,261.61912103990966,227.8887364618484,261.6416596603683,241.34640645091235,267.0784654229944,15.0,0,11
27,190.4049318835983,259.49680024627787,202.11806323299334,258.56897012439936,223.94244138354574,258.80422525359,238.53702762375823,265.2359264367589,16.666666666666668,0,11
28,185.61486017416354,256.49256332710854,197.573315297701,255.7303897706692,215.9620032889923,258.0688131351234,235.76435034839147,263.3093525120336,18.333333333333336,0,11
29,181.21071162635573,253.64373047454856,192.8911308825951,253.19588269667253,212.06823897198635,255.3850553353048,232.9468152106544,261.22815092721305,20.0,0,11
30,175.73576943493956,211.39922308132165,177.84528846111044,212.4779623543084,184.41849062252405,215.04869166512427,208.294388005673,230.8972569945736,0.0,1,1
31,197.75741912910104,225.40629074053012,211.8885777816788,235.14710412918245,227.46443048586863,245.4394801139756,243.44383845984203,257.2247641580299,0.1,1,1
32,212.99715898695194,235.93966194677182,229.6088115968448,247.5165152669106,244.43503733694658,258.0630668217795,254.50484413842696,265.64968500968115,0.2,1,1
33,223.39018892545621,243.4946455594629,239.23362531003949,254.62652831644928,251.63508547003931,263.775145826033,258.49228023081474,268.9929389630408,0.30000000000000004,1,1
