dry_density,06H,06V,10H,10V,19H,19V,37H,37V
10,236.86702098716435,263.2894298302108,247.46448632104926,270.9514706865063,251.3623221987809,272.006306530735,254.5487392345628,272.4105162059732
20,237.06478243226766,263.4442935721034,247.20591812543447,270.7690916354982,251.46697123748703,272.0685493377525,254.49216494589766,272.3760040488204
30,237.27718096260622,263.6052698137982,247.01930977205157,270.64716750417097,251.59030928036267,272.1390434581078,254.47054662249928,272.3632995297258
40,237.50232424076842,263.77109718290995,246.8975202132253,270.57584824902267,251.72979270750713,272.21592533919227,254.47888297639437,272.3686370856546
50,237.51395527774167,263.7848534539829,246.83354731806932,270.5466597041385,251.60387170140132,272.1254584531709,254.51024413933246,272.3855987808483
60,237.26177909447,263.62839247527285,246.8207401542237,270.5522388806445,251.46230314159453,272.03329349736737,254.56666428472138,272.41771351031383
70,237.09649570143344,263.54614878176295,246.8529101171735,270.58626177322736,251.38093298951478,271.98384438938626,254.64225939221424,272.4595313877294
80,237.00810915607366,263.5252954270878,246.92439256756097,270.64333853357306,251.35173248517617,271.96922478946885,254.73382575845002,272.5092171884788
90,236.98705803813976,263.554716638228,247.03006111144452,270.7189015290082,251.36702722449445,271.9821360193187,254.67286220585027,272.4670678624443
100,237.02460101484013,263.6251421750326,247.16531083256356,270.8090936151027,251.42162613284717,272.01820131402246,254.60207831786846,272.4223268403901
110,237.11288242600202,263.7288178158969,247.32600953579671,270.9106964741591,251.50939390859585,272.0720948815389,254.56989473065263,272.4009597008938
120,237.24490663859905,263.8592896894537,247.50839932623614,271.02079471373224,251.62533130847308,272.1399202323578,254.5754554592965,272.4038834383311
130,237.41450243957826,264.0112207321981,247.51505928047814,271.0113982834232,251.7653234473784,272.21834230690774,254.61047972057034,272.4241221865255
140,237.61623708075658,264.1801870655407,247.29031275658377,270.8625283453353,251.74156812676134,272.19146792946606,254.67130894330563,272.457975080647
150,237.84534331007495,264.36255243236974,247.15478646826023,270.7829355756045,251.59456679177404,272.0953260109357,254.75364641667431,272.502652736516
160,238.09768582666499,264.555295474122,247.0969275132888,270.75901561585476,251.52025321484513,272.0498465909278,254.810197561586,272.529766572756
170,238.1011108222495,264.57385118733197,247.10596659712928,270.7793662143772,251.5085231864338,272.04550588565985,254.71857255926537,272.4697127579205
180,237.8823216645292,264.4565786351726,247.17220421491461,270.8344524615947,251.54931131833155,272.07283950909977,254.6778512694782,272.443531190915
190,237.77523677665252,264.42895506468557,247.28693099796467,270.9164640074105,251.63409493667623,272.1246391241231,254.67763304998698,272.4421729248437
200,237.7632312601387,264.47202198157635,247.44235021557395,271.0188358291324,251.75557398609112,272.1950197362185,254.71138320219595,272.4604892781658
210,237.83146457632924,264.57042168362915,247.63205414942647,271.13664316768467,251.90744516132173,272.27917914984073,254.77320972851297,272.4943115272012
220,237.9669816376925,264.7117631361691,247.6570974672397,271.14227634873066,251.78560079652968,272.19342767654257,254.85888273329465,272.54004423863273
230,238.15855949589437,264.8861535465267,247.44838926297777,271.0096644356691,251.6841373691634,272.1288299548647,254.87164090091247,272.5393740895651
240,238.3965247150311,265.08562739123954,247.3491677712541,270.9582653566403,251.66062297721209,272.1158256465889,254.80439585040617,272.4952110879282
250,238.67279359868047,265.304030450591,247.34217398165973,270.9693547237632,251.70149236257976,272.142101888193,254.78459182081576,272.48122007449723
260,238.66094666429552,265.32384331734596,247.41182938242528,271.02765172354646,251.79507580034164,272.1978464293225,254.80452482271326,272.4907487565351
270,238.48915778664568,265.2541413587504,247.5449026011208,271.1213975433839,251.9316714732283,272.27517110180844,254.8571487423399,272.51851686610763
280,238.45352045673042,265.2879894473012,247.7296671892231,271.24081303234715,251.97802534554052,272.29163998679695,254.93425929391037,272.5576429583726
290,238.52936712691027,265.399606839299,247.84344332868167,271.3066571861143,251.8504063460107,272.2078716695499,254.98882603072434,272.5827144683359
300,238.69557125356087,265.56892352586834,247.6345372566987,271.17677492405346,251.81630770015127,272.18680888515166,254.92152980847328,272.53746508629746
310,238.9345275718702,265.7806478387549,247.55831874124937,271.1429369394753,251.85794328367052,272.21219508103195,254.90376110865466,272.52335869742944
320,239.23143582560755,266.0228479975541,247.5905756784485,271.180068584674,251.9597391521571,272.27090673609865,254.9265349120052,272.53332711866386
330,239.20022002003967,266.0420261596402,247.7099651469594,271.26837047754,252.10998510100694,272.35415209483983,254.9797625339233,272.5592920846588
340,239.08860122820352,266.0274526352463,247.89849843991794,271.39269039268,252.0480866832086,272.305331317507,255.06233648941213,272.6015801695539
350,239.1347723430741,266.1270295164257,247.9519613095948,271.42320734980126,251.9801136224859,272.2604806613493,255.07986646486307,272.6038433684121
360,239.30493819567823,266.30788068447976,247.7910723281089,271.3309784561102,252.00267655458555,272.27293162315135,255.03460128891584,272.5716434612057
370,239.57134493526408,266.5455560989958,247.77600658802723,271.3391873535012,252.09600755910586,272.3257206440887,255.03328828208146,272.56522623519646
380,239.86284841186625,266.7895481153098,247.87540839376797,271.41768775401124,252.24501315021078,272.4072854359037,255.071364934361,272.58272632428447
390,239.68676658357364,266.7330208124114,248.06316438780868,271.54399372215914,252.19231673722987,272.3638623957176,255.1395860317274,272.6165267917523
400,239.71706413952944,266.8287640764994,248.08894656169457,271.5603175636876,252.14690934092658,272.331595771061,255.2317702609051,272.66259801906256
410,239.904068652984,267.02798334208,247.9729283372676,271.50104517648083,252.19325579331985,272.356154776432,255.1727670584368,272.619094378794
