dry_density,06H,06V,10H,10V,19H,19V,37H,37V
10,75.92879854760254,132.0099651206819,86.61168558193481,129.84934949808218,105.82775043649042,134.0837672713916,132.77122012870058,153.85581427946317
20,76.38373623275349,132.84361819304462,87.21394578615627,130.57668895367934,106.43352965222662,134.94573932770473,133.43990360209486,154.80373521362267
30,76.84132453552009,133.6992402247506,87.81786983381213,131.33201699171997,107.04414512734378,135.8322493008561,134.1142282006027,155.7738118237776
40,77.30225249016246,134.5766015291137,88.42343523135087,132.1161436674509,107.65956769386058,136.7442159966074,134.79385673135474,156.76700883859456
50,77.83138913697769,135.40022672756552,89.03065634994202,132.92985868449728,108.32696776837363,137.62920341367177,135.4784486881631,157.78429163979487
60,78.45330452225951,136.1472115263459,89.63958943134296,133.77392811222546,109.01402127152689,138.52506169951906,136.1676603077107,158.826623502061
70,79.07018152318119,136.93484612901648,90.25032859755018,134.6490788400885,109.70751305492286,139.44771685847647,136.86114485380742,159.89496227503037
80,79.68264163214276,137.76261595400322,90.8630442991027,135.55604631249193,110.40724015113571,140.3985987614461,137.5585531297925,160.99025648401383
90,80.29138904861792,138.62996404271968,91.4779389547607,136.4955014594339,111.11292404411023,141.37903224060727,138.28579254415385,162.0855161368336
100,80.8972133840802,139.5362837913597,92.09528238080166,137.46809585064054,111.8243339630629,142.39038575310826,139.0268460684063,163.1989450646577
110,81.50101172529236,140.48095359898917,92.71540829620821,138.4744505997656,112.54126002923927,143.43403262868148,139.77280658920606,164.34006109958898
120,82.10376536613957,141.46330130745145,93.33871805594107,139.51515691335592,113.26351587300836,144.51134786858736,140.52308860053208,165.5099975686616
130,82.70655691408153,142.48264309384138,94.01567635065751,140.53143257237684,113.99094158653156,145.62370438547458,141.27710002469337,166.70985871716752
140,83.31056528619615,143.53828904171627,94.77306539284339,141.49472710997537,114.75764619821018,146.73400437905823,142.0342432252938,167.94071217320882
150,83.91706352920386,144.6295568495782,95.53151728435493,142.50138208889186,115.56646155822857,147.84108530998367,142.79391656981502,169.2035803489737
160,84.52741569723352,145.75578628379603,96.29099867707365,143.55262868102463,116.38191980984453,148.98590603054058,143.56278830040893,170.49107439872347
170,85.22806248083386,146.8192582525398,97.05163921843058,144.64972147326105,117.20348179202504,150.17042147207985,144.36688643229235,171.77815487192834
